uid,title,num,crn,section,hours,times,faculty,location,limit,enrolled,available,info,description,subj,subject,subj_code,cat_term,credit_hours
202530ESCI95106,"Island Ecology (Lab)",240,95106,A,8,"TBA ,  ","K Zigler",TBA,10,10,Closed,"General Education: G5E: Observing-Experimenting-Modeling (Experimental/Experiential),GMWI: Major Writing Intensive<br><br>Lab Science; Prerequisites: Only open to students who have completed ENST 140 and been admitted to the Island Ecology program","This interdisciplinary field course combines the study of geology, oceanography, marine biology, botany, and wildlife behavior in a single coastal island ecosystem.",ESCI,"Environmental Sciences",ESCI,202530,"8 hours"
202530FILM95068,"Introduction to Three- and Four-Dimensional Media",104,95068,A,4,"MW 1400-1700,  ","G Pond","Wiggins Hall 122",15,2,"Available: 13","General Education: G2: Understanding the Arts<br><br>Prerequisites: Instructor prerequisite override required; Studio Art Fee-Pond: $275",,ART,"Film Studies",HIST,202530,"4 hours"
202530FINC95079,"Corporate Finance",201,95079,A,4,"MTWRF 1400-1515,  ","B Blythe","Walsh-Ellett Hall 210",26,5,"Available: 21","Prerequisites: ECON 101 or ECON 120","This course addresses the concepts underlying corporate finance and equity markets. Topics include financial statement analysis, time value of money, security valuation, capital budgeting, capital structure, dividend policy, and working capital management.",FINC,Finance,FINC,202530,"4 hours"
202530FREN95076,"Caribbean Literature: Maryse Condé in Translation",399,95076,A,4,"MTWRF 1130-1245,  ","J Ledford","Spencer Hall 164",10,2,"Available: 8","General Education: G1: Reading Closely,G6FR: Comprehending Cross-Culturally (French Culture)<br><br>For a detailed description of this Special Topics Course: <a href=""https://registrar.sewanee.edu/students/topics/""> https://registrar.sewanee.edu/students/topics</a>",,FREN,"French and French Studies",FREN,202530,"4 hours"
202530GEOL95080,"Physical Geology (Lab)",121,95080,A,4,"MTWRF 1000-1115, TR 1400-1700","M Knoll","Snowden Hall 119",18,3,"Available: 15","General Education: G5E: Observing-Experimenting-Modeling (Experimental/Experiential)<br><br>Lab Science","A study of the geological features and processes that shape the earth's surface and subsurface. Lectures detail major components of the earth and the dynamic processes that generate them (including rocks, minerals, fossils, mountain belts, ocean basins, tectonic activity, magma formation, and climate change). Environmental issues related to geology (earthquakes, landslides, volcanic activity, groundwater contamination, and coastal and stream erosion) are major topics of discussion. Field-oriented lab exercises utilize excellent geological exposures of the Cumberland Plateau and the nearby Appalachian Mountains. Lecture, three hours; laboratory and field trips (including one weekend trip).",GEOL,Geology,GEOL,202530,"4 hours"
202530GRMN95100,"Summer in Berlin",280,95100,A,4,"TBA ,  ","R Apgar",TBA,25,2,"Available: 23","Prerequisite:  GRMN 103  and  GRMN 104  ","This course offers a three-week program of language study at the DiD German language institute in Berlin where students take classes along with other international students. After appropriate placement according to their language skills, enrolled students receive language instruction through DiD while the accompanying Sewanee faculty member provides culture instruction and area excursions.",GRMN,"German and German Studies",GRMN,202530,"4 hours"
202530GRMN95101,"Sewanee in Berlin: Advanced German",360,95101,A,4,"TBA ,  ","R Apgar",TBA,20,8,"Available: 12","General Education: G6: Comprehending Cross-Culturally (Language)<br><br>Prerequisite:  GRMN 203  or  GRMN 280  ","This summer course combines an advanced-level German class with a culture class.  The language class is taught at the Berlin Deutsch in Deutschland language institute, and the culture class is taught as a combination of class work and student-led excursions. The course is offered in Berlin every other year.",GRMN,"German and German Studies",GRMN,202530,"4 hours"
202530HIST95090,"History of Britain and Ireland II",206,95090,A,4,"MTWRF 1000-1115,  ","M Mitchell","Walsh-Ellett Hall 204",18,6,"Available: 12","General Education: G4: Exploring Past and Present","A general survey of the political, constitutional, economic, and social history of Britain, Ireland, and the British Empire from the Revolution of 1688 to the present.",HIST,History,HIST,202530,"4 hours"
202530INGS95099,"Dynamics of International Business II",351,95099,A,2,"TBA ,  ","M Elledge",TBA,12,11,"Available: 1","Prerequisites: BUSI 350; open only to students admitted to the Dynamics of International Business Program","This course examines business trends and business structures in emerging markets located in the region of focus through field applications of cross-cultural travel and business interviews. This field applications course discusses the evolution of conglomerate enterprises and business networks through first-hand study and consultation with business and government leaders. It introduces students to examples of corporate organization and management of these enterprises, and elaborates how these structures impact the success of companies from the region of study. The course will examine the policies and case examples of new start-up business development and entrepreneurship, and how economies in the region are adapting structures to shape an innovation economy. The faculty-led travel /study-away course will also explore business practices in the countries of study, providing students with a first-hand understanding of business culture, protocol, and business customs.",BUSI,"International & Global Studies",SPAN,202530,"2 hours"
202530INGS95090,"History of Britain and Ireland II",206,95090,A,4,"MTWRF 1000-1115,  ","M Mitchell","Walsh-Ellett Hall 204",18,6,"Available: 12","General Education: G4: Exploring Past and Present","A general survey of the political, constitutional, economic, and social history of Britain, Ireland, and the British Empire from the Revolution of 1688 to the present.",HIST,"International & Global Studies",SPAN,202530,"4 hours"
202530INGS95102,"Baltics and Caucasus: Empires, Revolutions and Future Innovations",326,95102,A,4,"TBA ,  ","M Preslar",TBA,20,8,"Available: 12","General Education: G4: Exploring Past and Present,G7: Encountering Perspectives<br><br>Prerequisites: Only open to students admitted to the Summer in Russia program","This course examines the tentacles of empire reaching into the Baltic and Caucasus regions from Europe, focusing on the flow of trade and religious belief. It covers topics like the Hanseatic League, the Crusades, the Teutonic Knights, and the Silk Road, and the way they facilitate commerce and economic and intellectual exchange, as well as their intersection with violence and empire. The course is held on site in Riga and Tbilisi.",INGS,"International & Global Studies",SPAN,202530,"4 hours"
202530MHUM95118,"Narrative Medicine",208,95118,A,4,"MTWRF 0900-1500, MTWRF 0900-1500","A Summers","Spencer Hall 172",17,17,Closed,"General Education: G3: Seeking Meaning","This course explores the human experience in medicine through the lens of individual stories from both patient and caregiver’s perspectives. Through the use of novels, short stories, poems, graphic novels, plays, and film students will examine the practice of medicine and what it means to the patient, the practitioner, and society. The course culminates with a personal narrative based on the student’s own experiences with the healthcare system.",MHUM,"Medical Humanities",MHUM,202530,"4 hours"
